TrialName,Participant,Sample,Emp,Probability
BalanceUnder,OC20,0,emp2,0.45800046491917235
BalanceUnder,oc5,0,emp2,0.4964711483617259
BalanceUnder,oc19,0,emp2,0.9993921115589692
BalanceUnder,OC28,0,emp2,0.999946426507925
BalanceUnder,OC32,0,emp2,0.8185602800089694
BalanceUnder,OC30,0,emp2,0.8136756804813675
BalanceUnder,OC8,0,emp2,0.3769353549965445
BalanceUnder,OC18,0,emp2,0.45262999427619655
BalanceUnder,OC29,0,emp2,0.034348408550113466
BalanceUnder,Oc34,0,emp2,0.34426240783770373
BalanceUnder,OC38,0,emp2,0.5800154831014849
BalanceUnder,OC37,0,emp2,0.9999206757455016
BalanceUnder,OC22,0,emp2,0.3697227716588318
BalanceUnder,OC40,0,emp2,0.9988159895549023
BalanceUnder,OC27,0,emp2,0.4049558340159831
BalanceUnder,OA4,1,emp1,0.5928891871333154
BalanceUnder,OA6,1,emp1,0.5921167606339194
BalanceUnder,OA5,1,emp1,0.9909717498827901
BalanceUnder,OA7,1,emp1,0.9540068332203316
BalanceUnder,OA12,1,emp1,0.5454124692912244
BalanceUnder,Oa14,1,emp1,0.997898557987601
BalanceUnder,OA18,1,emp1,0.8926869164062918
BalanceUnder,OA23,1,emp1,0.43640590491596926
BalanceUnder,OA25,1,emp1,0.589074690344656
BalanceUnder,OA22,1,emp1,0.24959640689655196
BalanceUnder,OA27,1,emp1,0.22799531085394678
BalanceUnder,OA19,1,emp1,0.45491610429252416
BalanceUnder,OA31,1,emp1,0.5644034398548803
BalanceUnder,OA33,1,emp1,0.6046101798461304
BalanceUnder,OA28,1,emp1,0.05126702528935517
BalanceUnder,OA37,1,emp1,0.47929658494624255
BalanceUnder,OA38,1,emp1,0.5759886708299325
BalanceUnder,OA36,1,emp1,0.9982138517254687
BalanceUnder,OA45,1,emp1,0.5371181499685419
BalanceUnder,OA40,1,emp1,0.9997673218027754
BalanceUnder,OA44,1,emp1,2.439055950682806e-11
BalanceUnder,OA56,1,emp1,0.6053768133183306
BalanceUnder,OA57,1,emp1,0.5204931562510074
BalanceUnder,OA53,1,emp1,0.5473173172799193
BalanceUnder,OA50,1,emp1,0.9846258928857395
BalanceUnder,OA58,1,emp1,0.5796730067185503
BalanceUnder,OA54,1,emp1,0.5114059116288869
BalanceUnder,OA48,1,emp1,0.5127862036554859
BalanceUnder,OA61,1,emp1,0.6511475835009323
BalanceUnder,OA65,1,emp1,0.4702538148366519
BalanceUnder,OA69,1,emp1,0.1987100228846224
BalanceUnder,OA66,1,emp1,0.5550209852179552
BalanceUnder,OA67,1,emp1,0.9670738332323963
BalanceUnder,OC1,1,emp2,0.9998737564099814
BalanceUnder,OC13,1,emp2,0.3581765405856791
BalanceUnder,OC14,1,emp2,0.4212625738072799
BalanceUnder,OC4,1,emp2,0.4183802393406658
BalanceUnder,OC15,1,emp2,0.4177766455983022
BalanceUnder,OC3,1,emp2,0.9565756795091731
BalanceUnder,OC16,1,emp2,0.4447856587012263
BalanceUnder,OC17,1,emp2,0.9999729545547321
BalanceUnder,OC21,1,emp2,0.2967757283285132
BalanceUnder,OC26,1,emp2,0.40704459653101166
BalanceUnder,OC20,1,emp2,0.5012315743447107
BalanceUnder,oc5,1,emp2,0.536898052302988
BalanceUnder,oc19,1,emp2,0.9993435369277056
BalanceUnder,OC28,1,emp2,0.9999341981611556
BalanceUnder,OC32,1,emp2,0.8418523756792203
BalanceUnder,OC30,1,emp2,0.8092711382121858
BalanceUnder,OC8,1,emp2,0.3936541504722887
BalanceUnder,OC18,1,emp2,0.46277529405327883
BalanceUnder,OC29,1,emp2,0.025139762498109005
BalanceUnder,Oc34,1,emp2,0.3889311440962505
BalanceUnder,OC38,1,emp2,0.5766172378150389
BalanceUnder,OC37,1,emp2,0.9999093268928686
BalanceUnder,OC22,1,emp2,0.40576026413556276
BalanceUnder,OC40,1,emp2,0.9986825342377322
BalanceUnder,OC27,1,emp2,0.4206103982893042
BalanceUnder,OA4,2,emp1,0.567375202374779
BalanceUnder,OA6,2,emp1,0.6215446929888705
BalanceUnder,OA5,2,emp1,0.9889560287210182
BalanceUnder,OA7,2,emp1,0.9606186740516391
BalanceUnder,OA12,2,emp1,0.5733250708125417
BalanceUnder,Oa14,2,emp1,0.9974565147933265
BalanceUnder,OA18,2,emp1,0.8786112216939539
BalanceUnder,OA23,2,emp1,0.4702306263725832
BalanceUnder,OA25,2,emp1,0.6145629390597598
BalanceUnder,OA22,2,emp1,0.2885251154414645
BalanceUnder,OA27,2,emp1,0.2547146302490633
BalanceUnder,OA19,2,emp1,0.5175992940726483
BalanceUnder,OA31,2,emp1,0.6212337292499571
BalanceUnder,OA33,2,emp1,0.6811273254891278
BalanceUnder,OA28,2,emp1,0.04945347006907243
BalanceUnder,OA37,2,emp1,0.5466307598547031
BalanceUnder,OA38,2,emp1,0.6571052115592562
BalanceUnder,OA36,2,emp1,0.9924652844962427
BalanceUnder,OA45,2,emp1,0.6310820822511174
BalanceUnder,OA40,2,emp1,0.9997178838444533
BalanceUnder,OA44,2,emp1,1.8775117879934613e-11
BalanceUnder,OA56,2,emp1,0.6870577232332035
BalanceUnder,OA57,2,emp1,0.599183547594589
BalanceUnder,OA53,2,emp1,0.6352823196449814
BalanceUnder,OA50,2,emp1,0.9775099830983953
BalanceUnder,OA58,2,emp1,0.6661369002335561
BalanceUnder,OA54,2,emp1,0.5847070093181067
BalanceUnder,OA48,2,emp1,0.6020611935959317
BalanceUnder,OA61,2,emp1,0.6824902111628394
BalanceUnder,OA65,2,emp1,0.5372909960128941
BalanceUnder,OA69,2,emp1,0.19329011282060735
BalanceUnder,OA66,2,emp1,0.6423026136475588
BalanceUnder,OA67,2,emp1,0.9631290808458057
BalanceUnder,OC1,2,emp2,0.9998833668952641
BalanceUnder,OC13,2,emp2,0.29852959425939624
BalanceUnder,OC14,2,emp2,0.4695510604275049
BalanceUnder,OC4,2,emp2,0.4390790839350626
BalanceUnder,OC15,2,emp2,0.4662745037190481
BalanceUnder,OC3,2,emp2,0.9656286573967701
BalanceUnder,OC16,2,emp2,0.42750820978875537
BalanceUnder,OC17,2,emp2,0.9999768647935067
BalanceUnder,OC21,2,emp2,0.2685939093301092
BalanceUnder,OC26,2,emp2,0.3776354430303525
BalanceUnder,OC20,2,emp2,0.4818887427805649
BalanceUnder,oc5,2,emp2,0.5137290109948236
BalanceUnder,oc19,2,emp2,0.9993756645159622
BalanceUnder,OC28,2,emp2,0.9999404438133654
BalanceUnder,OC32,2,emp2,0.8732246513152429
BalanceUnder,OC30,2,emp2,0.8283703475095907
BalanceUnder,OC8,2,emp2,0.4002793502623891
BalanceUnder,OC18,2,emp2,0.44271041667646654
BalanceUnder,OC29,2,emp2,0.009367641263215317
BalanceUnder,Oc34,2,emp2,0.35187735357772104
BalanceUnder,OC38,2,emp2,0.6397322643784555
